evmEthicalBehaviorMonitor,monitor
evmNormViolation,incident_1
evmNormViolation,incident_2
nepNorm,do_not_kill
nepNorm,do_not_hit_the_wall
evmResponsibilityAscription,responsibility_ascription_for_killing
evmResponsibilityAscription,responsibility_ascription_for_hitting_the_wall
nepRobot,robot_1
nepRobot,robot_2
evmLiabilitySanction,go_to_robot_prison



evmdetects,monitor,incident_1
evmdetects,monitor,incident_2
evmis_violation_of,incident_1,do_not_kill
evmis_violation_of,incident_2,do_not_hit_the_wall
nepcategory,do_not_kill,neplegal_norm
nepcategory,do_not_hit_the_wall,nepethical_norm
evmelicits,incident_1,responsibility_ascription_for_killing
evmelicits,incident_2,responsibility_ascription_for_hitting_the_wall
evmis_ascribed_to,responsibility_ascription_for_killing,robot_1
evmis_ascribed_to,responsibility_ascription_for_hitting_the_wall,robot_2
evmis_sanction_for,go_to_robot_prison,responsibility_ascription_for_killing
